feature,importance_mean,importance_std
ST_Slope,0.09900765184122426,0.01720014968679588
ChestPainType,0.01938067910090859,0.007642111446113592
Sex,0.015411286465805751,0.005848538366569138
ExerciseAngina,0.014705882352941114,0.005270956365927633
Cholesterol,0.014179818268770855,0.004869102879992939
Oldpeak,0.00817192730750832,0.005191063486393539
FastingBS,0.005942132950741192,0.0018120739903800176
RestingBP,0.00423242467718789,0.0015336339796687506
MaxHR,0.003676470588235231,0.0047831292785627
Age,0.0013988522238163104,0.001306490707196095
RestingECG,0.0009564801530367484,0.0010957856755035523
